iter	Passed	Remaining
0	1	117
1	2	115
2	3	111
3	4	104
4	5	105
5	6	109
6	8	109
7	9	107
8	10	105
9	11	103
10	12	103
11	13	102
12	15	101
13	16	100
14	17	100
15	19	100
16	20	99
17	21	97
18	22	97
19	24	96
20	25	95
21	26	94
22	27	93
23	29	92
24	30	90
25	31	90
26	33	90
27	34	88
28	35	86
29	36	85
30	37	83
31	38	82
32	40	81
33	41	80
34	42	79
35	44	78
36	45	77
37	46	76
38	48	75
39	49	74
40	50	73
41	51	70
42	52	69
43	53	68
44	55	67
45	56	66
46	57	65
47	59	64
48	60	62
49	61	61
50	62	60
51	63	58
52	65	57
53	66	56
54	67	54
55	68	53
56	69	52
57	71	51
58	72	50
59	73	49
60	74	47
61	76	46
62	77	45
63	78	44
64	79	42
65	80	41
66	82	40
67	83	39
68	84	38
69	86	36
70	87	35
71	88	34
72	89	33
73	91	31
74	92	30
75	93	29
76	94	28
77	96	27
78	98	26
79	99	24
80	100	23
81	101	22
82	103	21
83	104	19
84	106	18
85	107	17
86	108	16
87	110	15
88	111	13
89	113	12
90	114	11
91	115	10
92	116	8
93	118	7
94	119	6
95	120	5
96	122	3
97	123	2
98	125	1
99	126	0
